"ID","ID_rcpt","Region","Location","Lat","Lon"
"S_20_00625","ARSQ_03_1011","SAN","Sanikiluaq",NA,NA
"S_20_00626_rep","ARSQ_03_1013","SAN","Sanikiluaq",NA,NA
"S_20_00627","ARSQ_03_1006","SAN","Wiegand_Island",56.631555,-79.215341
"S_20_00628","ARSQ_03_1007","SAN","Wiegand_Island",56.631555,-79.215341
"S_20_00713","ARSQ_02_1036","SAN","Sanikiluaq",NA,NA
"S_20_00717","ARSQ_04_1073","SAN","Sanikiluaq",NA,NA
"S_20_00718","ARSQ_03_1018","SAN","Sanikiluaq",NA,NA
"S_20_00719","ARSQ_2004_6","SAN","Sanikiluaq",NA,NA
"S_20_00720","ARSQ_03_1017","SAN","Sanikiluaq",NA,NA
"S_20_00721","ARSQ_04_1072","SAN","Sanikiluaq",NA,NA
"S_20_00722","ARSQ_04_1032","SAN","Sanikiluaq",NA,NA
"S_20_00724","ARSQ_2004_15","SAN","Sanikiluaq",NA,NA
"S_20_00725","ARSQ_2004_5","SAN","Sanikiluaq",NA,NA
"S_20_00726","ARSQ_03_1014","SAN","Sanikiluaq",NA,NA
"S_20_00729","ARSQ_2004_4","SAN","Sanikiluaq",NA,NA
"S_20_00730","ARSQ_02_1035","SAN","Sanikiluaq",NA,NA
"S_20_00732","ARSQ_04_1067","SAN","Sanikiluaq",NA,NA
"S_20_00733","ARSQ_04_1030","SAN","Sanikiluaq",NA,NA
"S_20_00734","ARSQ_03_1005","SAN","Sanikiluaq",NA,NA
"S_20_00735","ARSQ_2004_18","SAN","Sanikiluaq",NA,NA
"S_20_00738","ARSQ_04_1066","SAN","Sanikiluaq",NA,NA
"S_20_00740","ARSQ_2004_17","SAN","Sanikiluaq",NA,NA
"S_20_00741","ARSQ_02_1004","SAN","Sanikiluaq",NA,NA
"S_20_00742","ARSQ_04_A","SAN","Sanikiluaq",NA,NA
"S_20_00744","ARSQ_02_1010","SAN","Sanikiluaq",NA,NA
"S_20_00745","ARSQ_03_1020","SAN","Sanikiluaq",NA,NA
"S_20_00748","ARSQ_04_1065","SAN","Sanikiluaq",NA,NA
"S_20_00749","ARSQ_2004_2","SAN","Sanikiluaq",NA,NA
"S_20_00750","ARSQ_03_1040","SAN","Sanikiluaq",NA,NA
"S_20_00751","ARSQ_03_1024","SAN","Sanikiluaq",NA,NA
"S_20_00753","ARSQ_2004_11","SAN","Sanikiluaq",NA,NA
"S_20_00754","ARSQ_2004_14","SAN","Sanikiluaq",NA,NA
"S_20_00755","ARSQ_04_1075","SAN","Sanikiluaq",NA,NA
"S_20_00757","ARSQ_04_1086","SAN","Sanikiluaq",NA,NA
"S_20_00758","ARSQ_2004_8","SAN","Sanikiluaq",NA,NA
"S_20_00761","ARSQ_2004_19","SAN","Sanikiluaq",NA,NA
"S_20_00764","ARSQ_2004_16","SAN","Sanikiluaq",NA,NA
"S_20_00765","ARSQ_02_1001","SAN","Sanikiluaq",NA,NA
"S_20_00766","ARSQ_02_1002","SAN","Sanikiluaq",NA,NA
"S_20_00767","ARSQ_04_1071","SAN","Sanikiluaq",NA,NA
"S_20_00768","ARSQ_2004_12","SAN","Sanikiluaq",NA,NA
"S_20_00769","ARSQ_2004_13","SAN","Sanikiluaq",NA,NA
"S_20_03652","ARSQ_04_07_01","SAN","Sanikiluaq",NA,NA
