"","HL001","HL002","HL003","HL004","HL005","HL006","HL007","HL008","HL009","HL010","HL011","HL012","HL013","HL014","HL015","HL016","HL017","HL018","HL019","HL020","HL021","HL022","HL023","HL024","HL025","HL026","HL027","HL028","HL029","HL030","HL031","HL033","HL034","HL035","HL038","HL039","HL040","HL041","HL042","HL043","HL044","HL045","HL046","HL047","HL048","HL049","HL050","HL051","HL053","HL055","HL056","HL057","HL059","HL060","HL063","HL064","HL068","HL069","HL070","HL071","HL072","HL073","HL074","HL077","HL081","HL082","HL083","HL084","HL085","HL087","HL088","HL090","HL091","HL092","HL094","HL097","HL103","HL112","HL114","HL115","HL121","HL122","HL123","HL128","HL129","HL139","HL140","HL141","HL142","HL143"
"BEL July",29,4,3,1,0,0,1,0,2,4,0,1,0,0,0,2,0,0,0,1,0,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CSB July",8,0,45,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,5,18,2,21,0,0,0,4,1,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,7,1,1,3,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
"EHB July",12,11,5,0,0,0,1,1,8,9,0,0,0,0,0,7,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM July",1,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"UNG July",24,0,47,3,0,0,0,5,0,2,5,2,0,4,2,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHB July",17,0,22,1,0,0,0,4,4,0,0,3,2,2,3,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BEL August",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CSB August",5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"EHB August",10,5,2,0,0,0,1,5,18,14,0,0,3,0,0,16,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0
"JAM August",2,0,1,0,0,0,0,25,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"UNG August",2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WHB August",31,0,84,28,1,7,0,4,1,0,5,6,1,0,3,9,1,1,2,3,0,0,0,0,1,4,1,0,0,1,0,0,2,0,0,2,0,1,4,4,6,1,1,3,0,0,0,2,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
